time,ax,ay,az,wx,wy,wz
2025-10-16T15:38:57.448Z,0.1096,-0.8086,-0.1989,0.7139,-0.1685,0.6261
2025-10-16T15:38:57.456Z,-0.0227,-0.6683,-0.4004,0.7307,-0.2679,0.6235
2025-10-16T15:38:57.462Z,-0.0065,-0.4843,-0.6923,0.6227,-0.4920,0.5200
2025-10-16T15:38:57.472Z,0.0618,-0.4618,-0.9722,0.4061,-0.4699,0.2143
2025-10-16T15:38:57.484Z,0.1147,-0.7524,-1.2099,0.2499,-0.2966,0.0403
2025-10-16T15:38:57.492Z,-0.1983,-1.0576,-1.3053,0.2997,-0.2352,-0.0448
2025-10-16T15:38:57.502Z,-0.8412,-1.1250,-1.4656,0.1756,-0.1781,-0.2528
2025-10-16T15:38:57.512Z,-1.4226,-1.0375,-1.6584,-0.0312,-0.3508,-0.4734
2025-10-16T15:38:57.523Z,-1.7172,-1.0127,-1.9242,0.0251,-0.2543,-0.4789
2025-10-16T15:38:57.534Z,-1.6517,-1.1235,-2.2021,0.0570,-0.1524,-0.5830
2025-10-16T15:38:57.542Z,-1.4500,-1.2664,-2.2812,0.1102,-0.1293,-0.4645
2025-10-16T15:38:57.552Z,-1.3331,-1.4251,-2.2770,0.1688,-0.1281,-0.4502
2025-10-16T15:38:57.562Z,-1.3310,-1.6317,-2.3066,0.1912,-0.0780,-0.2423
2025-10-16T15:38:57.573Z,-1.3697,-1.8114,-2.3176,0.2192,-0.2581,-0.2901
2025-10-16T15:38:57.584Z,-1.3813,-1.9502,-2.3609,0.3478,-0.2092,-0.6249
2025-10-16T15:38:57.592Z,-1.2774,-2.1402,-2.4896,0.3670,0.0895,-0.5463
2025-10-16T15:38:57.603Z,-1.1401,-2.4332,-2.6912,0.3135,0.1025,-0.7771
2025-10-16T15:38:57.612Z,-1.1637,-2.7158,-2.8407,0.0868,-0.0203,-0.7546
2025-10-16T15:38:57.623Z,-1.4221,-2.9288,-3.1066,-0.0867,0.3885,-0.8052
2025-10-16T15:38:57.634Z,-1.7584,-3.0487,-3.3445,-0.3019,0.9307,-0.9084
2025-10-16T15:38:57.642Z,-2.0698,-3.0445,-3.5777,-0.3880,0.9995,-0.9059
2025-10-16T15:38:57.652Z,-2.3442,-2.9740,-3.7638,-0.4965,1.0409,-0.9034
2025-10-16T15:38:57.663Z,-2.5679,-2.9718,-3.9414,-0.6189,1.0435,-0.9080
2025-10-16T15:38:57.673Z,-2.6972,-3.1942,-4.0407,-0.7411,1.0351,-0.9076
2025-10-16T15:38:57.683Z,-2.7874,-3.6316,-4.0903,-0.8680,1.0654,-0.9003
2025-10-16T15:38:57.692Z,-2.8491,-4.1748,-4.3003,-0.9863,1.1437,-0.8786
2025-10-16T15:38:57.702Z,-2.8216,-4.7467,-4.5089,-1.1081,1.2506,-0.8645
